"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","258.3935194932953","59.46668776727226","4.721908316964448","-0.31197865973435573","0.023600000000000065","0.0218","0.025399999999999978","1300","0.0001640525997479455","0","0.0001640525997479455","0.0001640525997479455","","","true"
"1","402.05826747017187","277.7314699315823","4.81513590032656","-0.3097440319777085","0.045299999999999896","0.0428","0.047799999999999954","1300","0.0001074171462800377","0","0.0001074171462800377","0.0001074171462800377","1_0:0.004423207158765485","1_0:660","true"
"2","289.82885227364363","328.8105827303446","4.609655107492074","-0.3090875180776862","0.008399999999999963","0.010199999999999987","0.0066","1300","0.0001708092579896997","0","0.0001708092579896997","0.0001708092579896997","2_1:0.00445866763546407","2_1:660","true"
"3","248.25519624184153","245.31446808237894","4.875545985705616","-0.30968652168552707","0.029299999999999993","0.015199999999999991","0.0434","1300","0.00020009101770005055","0","0.00020009101770005055","0.00020009101770005055","3_2:0.008882790066690516","3_2:660","true"
"4","339.4467924502801","301.10408487812936","4.818175808974537","-0.3103713081153928","0.015900000000000025","0.019399999999999973","0.0124","1300","0.00014722384485266443","0","0.00014722384485266443","0.00014722384485266443","4_15:0.004516288017178738;4_3:0.0045542225800837555;4_5:0.004898387365774526","4_15:660;4_3:660;4_5:660","true"
"5","349.63066504827555","355.4715186668223","4.7341447892979165","-0.3114518235315779","0.007199999999999984","0.008199999999999985","0.0062","1300","0.00010035049179376583","0","0.00010035049179376583","0.00010035049179376583","","","true"
"6","259.21523663727044","63.56706339854566","4.876275766278119","-0.30918835047116894","0.007900000000000018","0.0064","0.009399999999999964","1300","0.00011064151249990891","0","0.00011064151249990891","0.00011064151249990891","6_7:0.007902129378221268;6_5:0.0049750956701213045","6_7:660;6_5:660","true"
"7","163.70960623014219","275.1124092079342","4.967524822898377","-0.30745739300983294","0.018000000000000016","0.02400000000000002","0.012","1300","0.0004144123253875646","0","0.0004144123253875646","0.0004144123253875646","7_8:0.004828308574619911","7_8:660","true"
"8","324.45144967634957","243.05799479724877","4.902345248208107","-0.30837827664687645","0.006699999999999928","0.0064","0.007000000000000006","1300","0.0001559528127736116","0","0.0001559528127736116","0.0001559528127736116","8_9:0.006528089101837109","8_9:660","true"
"9","334.20882520149365","198.05775962643213","4.987235069122292","-0.3080310587566364","0.011300000000000088","0.013000000000000012","0.0096","1300","0.0001898613076221205","0","0.0001898613076221205","0.0001898613076221205","","","true"
"10","325.42633523813356","292.4261265601075","4.831534448410197","-0.3097434424405673","0.01550000000000007","0.0158","0.015199999999999991","1300","0.00012413195449933936","0","0.00012413195449933936","0.00012413195449933936","10_11:0.006600970335011197;10_9:0.0050212097939896505","10_11:660;10_9:660","true"
"11","354.7807859431965","295.8584428365946","4.972305689737398","-0.307214316560019","0.13430000000000009","0.132","0.13660000000000005","1300","0.00012290173840048113","0","0.00012290173840048113","0.00012290173840048113","11_12:0.003921317922199075","11_12:660","true"
"12","350.0021059747617","158.01669684838797","4.936319107472835","-0.3079608272575031","0.01649999999999996","0.015000000000000013","0.018","1300","0.00014046476354279735","0","0.00014046476354279735","0.00014046476354279735","12_17:0.004493130217490676","12_17:660","true"
"13","307.887906416473","129.34597297925325","5.005809502119509","-0.3067650398842775","0.012299999999999978","0.0092","0.01539999999999997","1300","0.00025670249857994326","0","0.00025670249857994326","0.00025670249857994326","13_12:0.006529924426840167","13_12:660","true"
